,participant_id,session_start_iso,handedness,proficiency,age,block,block_time_s,trial,amplitude_px,direction,diameter_px,radius_px,errors,path_distance_px,center_to_click_px,trial_time_s
40,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,9,260,right,160,80,0,232.0,229.08,0.6198
41,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,10,260,right,40,20,0,505.92,249.0,1.0665
42,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,11,260,right,120,60,0,288.16,256.02,0.7992
43,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,12,180,right,40,20,0,290.35,184.02,1.1041
44,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,13,360,right,80,40,0,475.73,362.0,1.1974
45,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,14,260,left,40,20,0,340.93,265.05,0.9949
46,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,15,180,right,80,40,0,185.91,182.7,0.7715
47,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,16,260,left,120,60,0,221.13,221.04,0.6257
48,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,17,500,right,160,80,0,611.44,496.05,0.9388
49,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,18,500,left,160,80,0,534.49,463.0,1.3344
50,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,19,180,left,40,20,1,312.18,185.97,1.2829
51,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,20,500,left,40,20,0,506.92,490.0,0.9598
52,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,21,180,left,160,80,0,145.58,142.41,0.6663
53,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,22,360,left,80,40,0,581.56,352.0,1.4335
54,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,23,500,right,120,60,0,503.82,492.05,0.7313
55,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,24,180,right,160,80,0,230.51,211.0,0.7489
56,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,25,360,right,40,20,1,514.32,374.09,1.2207
57,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,26,360,left,40,20,0,357.24,354.01,0.9166
58,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,27,180,left,80,40,0,173.56,166.3,0.6843
59,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,28,500,left,120,60,0,569.41,516.1,0.8428
60,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,29,260,right,80,40,0,309.62,286.0,1.0448
61,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,30,260,left,80,40,0,249.21,244.46,0.8874
62,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,31,360,left,160,80,0,310.94,308.27,0.7015
63,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,32,500,right,80,40,0,637.7,521.01,0.897
64,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,1,360,right,80,40,0,397.42,371.11,0.8308
65,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,2,500,left,80,40,0,512.47,505.06,0.8976
66,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,3,180,right,160,80,0,198.11,190.09,0.8209
67,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,4,500,right,120,60,0,498.43,482.27,0.8857
68,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,5,180,right,80,40,0,241.53,164.25,0.8492
69,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,6,180,left,80,40,0,172.02,167.05,0.7355
70,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,7,500,right,160,80,0,455.56,437.37,0.8187
71,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,8,500,right,40,20,1,597.26,510.0,1.3261
72,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,9,260,left,160,80,0,243.11,241.01,0.5417
73,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,10,360,right,160,80,0,384.82,368.31,0.8146
74,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,11,260,left,120,60,0,264.72,258.12,0.5606
75,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,12,180,right,120,60,0,154.71,150.01,0.5861
76,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,13,360,right,120,60,0,356.76,329.18,0.8482
77,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,14,260,right,80,40,0,449.25,264.32,0.9686
78,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,15,180,left,160,80,0,820.64,226.37,1.4682
79,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,16,260,right,160,80,0,266.61,258.19,0.5383
80,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,17,260,left,80,40,0,286.52,275.41,0.8198
81,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,18,500,left,120,60,0,659.42,486.81,0.8422
82,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,19,180,left,120,60,0,270.64,131.02,0.6546
83,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,20,360,left,80,40,0,659.51,386.06,1.5395
84,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,21,500,left,40,20,0,598.07,509.0,0.9733
85,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,22,180,right,40,20,0,308.03,179.03,1.0679
86,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,23,360,left,40,20,0,360.05,355.17,0.7174
87,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,24,260,right,40,20,0,344.27,260.03,0.8076
88,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,25,260,right,120,60,0,560.52,257.03,0.8678
89,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,26,360,left,160,80,0,370.7,368.02,0.634
90,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,27,500,right,80,40,0,477.79,476.04,0.7008
91,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,28,180,left,40,20,0,245.89,177.0,0.6928
92,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,29,260,left,40,20,0,265.42,254.05,1.0252
93,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,30,360,right,40,20,1,404.82,361.01,1.1256
94,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,31,500,left,160,80,0,468.41,467.04,0.679
95,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,3,36.1998,32,360,left,120,60,0,405.49,317.06,1.5431
96,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,1,360,left,120,60,0,400.68,330.26,1.0479
97,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,2,360,right,80,40,0,598.48,379.03,0.8022
98,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,3,500,right,40,20,0,683.65,501.0,0.9947
99,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,4,500,left,80,40,0,489.81,483.05,0.7703
100,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,5,500,left,160,80,0,926.46,476.0,0.8592
101,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,6,180,right,80,40,0,344.57,198.01,0.6819
102,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,7,180,left,80,40,0,183.56,179.0,0.5367
103,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,8,180,left,120,60,0,346.46,209.4,1.2414
104,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,9,260,left,120,60,0,227.25,226.06,0.5548
105,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,10,260,left,40,20,0,396.86,261.01,1.3848
106,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,11,500,left,40,20,0,566.64,490.0,1.9867
107,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,12,360,left,40,20,0,648.56,355.02,0.8355
108,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,13,180,right,40,20,0,165.88,165.15,0.7108
109,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,14,360,right,160,80,0,357.9,284.0,0.7581
110,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,15,260,right,160,80,0,397.75,207.78,0.6841
111,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,16,360,left,80,40,0,367.37,364.03,0.671
112,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,17,260,left,80,40,0,480.62,232.05,0.7517
113,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,18,500,right,160,80,0,517.97,505.19,0.7439
114,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,19,180,left,160,80,0,207.49,204.04,0.4791
115,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,20,360,right,120,60,0,352.97,343.09,0.6766
116,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,21,500,left,120,60,0,772.24,522.01,1.4354
117,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,22,360,right,40,20,0,365.48,355.11,0.7816
118,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,23,260,right,40,20,2,471.68,254.03,1.5214
119,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,24,180,left,40,20,0,193.01,189.0,0.6636
120,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,25,180,right,160,80,0,123.98,115.28,0.5909
121,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,26,260,right,120,60,0,258.67,220.08,0.7667
122,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,27,360,left,160,80,0,320.76,317.16,0.6453
123,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,28,500,right,80,40,0,521.09,517.28,0.8408
124,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,29,500,right,120,60,0,1228.53,476.21,1.0352
125,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,30,180,right,120,60,0,451.33,186.17,0.6942
126,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,31,260,left,160,80,0,514.82,281.51,0.8304
127,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,4,34.0584,32,260,right,80,40,0,306.02,275.18,0.7974
128,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,1,260,right,80,40,1,415.64,270.07,1.8887
129,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,2,180,right,80,40,0,366.91,200.0,0.7119
130,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,3,180,right,160,80,1,315.28,148.03,0.9239
131,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,4,360,right,160,80,0,672.4,368.05,0.7783
132,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,5,360,left,40,20,0,402.96,369.0,1.011
133,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,6,180,left,120,60,0,440.35,176.26,0.6697
134,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,7,180,left,80,40,0,208.92,172.65,0.6852
135,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,8,500,right,160,80,0,490.16,486.3,0.6873
136,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,9,360,right,120,60,0,650.41,398.18,0.7358
137,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,10,500,left,160,80,0,437.87,437.07,0.8172
138,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,11,360,right,40,20,0,371.79,357.09,0.801
139,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,12,500,right,40,20,0,843.37,499.01,1.3686
140,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,13,360,left,160,80,0,328.13,327.02,0.5562
141,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,14,260,left,40,20,0,280.41,263.0,0.8495
142,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,15,500,right,120,60,0,505.32,497.1,0.7436
143,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,16,360,left,120,60,0,1476.25,401.28,2.4228
144,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,17,360,right,80,40,0,514.47,355.01,0.9125
145,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,18,260,left,80,40,0,258.83,258.01,0.6197
146,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,19,500,left,80,40,0,510.96,490.1,0.8244
147,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,20,260,left,120,60,0,358.1,249.2,0.702
148,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,21,180,right,40,20,0,285.53,199.09,0.7939
149,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,22,260,right,120,60,0,279.17,256.94,0.6732
150,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,23,500,left,120,60,0,483.19,476.0,0.7009
151,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,24,500,left,40,20,0,785.51,491.01,1.4516
152,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,25,360,left,80,40,0,379.75,378.0,0.7135
